key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSOPN70GABBRO_00851_CFC_TO_INSTANCE_CONTENT,<hex:02281CFF17>ContentFinderCondition<hex:E8020403>
1,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_000,喲，<hex:022903EB0203>，謝謝你來找我。
2,TEXT_CTSOPN70GABBRO_00851_Q1_000_000,要做什麼？
3,TEXT_CTSOPN70GABBRO_00851_A1_000_003,對話
4,TEXT_CTSOPN70GABBRO_00851_A1_000_004,取消
5,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_100,那你跟我聊聊輕量級的戰鬥吧。雖說是最低等級，<hex:02100103>但你在不使用任何魔物靈魂的情況下成為了新的王者，<hex:02100103>這讓我們所有人都驚嘆不已。
6,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_101,除此之外，你還打敗了闖入現場的原重量級鬥士狡雷……<hex:02100103>這史無前例的爆冷門真是讓人熱血沸騰！
7,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_102,我當然也在台下觀看了你的精彩表現，<hex:02100103>但還是想直接向你這位當事人詢問詳細情況。<hex:02100103>能不能跟我講講？
8,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_103,嗯嗯，原來是這樣啊。<hex:02100103>從當事人的視角了解到比賽的情況後，<hex:02100103>我那不斷湧現的想像力正在以漫畫的形式重構你的戰鬥畫面。
9,TEXT_CTSOPN70GABBRO_00851_Q1_100_100,要說什麼？
10,TEXT_CTSOPN70GABBRO_00851_A1_100_100,想像力？
11,TEXT_CTSOPN70GABBRO_00851_A2_100_100,重構？
12,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_104,嗯，我的漫畫可不是比賽的記錄。<hex:02100103>我希望用想像力為戰鬥賦予更多的可能性，<hex:02100103>讓它更激烈、更誇張，偶爾再大膽地進行些改編，不受任何拘束。
13,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_105,舉例來說……<hex:02100103>黑貓憑藉迅敏的動作沒少讓你吃苦頭，<hex:02100103>假設她能使用更狠辣的招數，戰況會如何發展？
14,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_106,蜂蜂小甜心外表甜美但脾氣火爆，<hex:02100103>如果她在盛怒下展開攻擊，又會是什麼樣的結局呢？
15,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_107,要是野蠻爆彈的違規底線更低，採用了更過分的手段，<hex:02100103>結果會不會是一番慘烈的光景？
16,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_108,如果狡雷沒有中途撤退，繼續比賽的話又會怎麼樣？
17,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_109,我會這樣一邊暢想一邊完成漫畫。<hex:02100103>嗯，這回應該可以創造出緊張刺激的傑作！
18,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_110,感謝你百忙之中接受我的採訪。<hex:02100103>今後我也會一直聲援你的，下一個量級你也要加油啊！
19,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_200,你有空的話，我們就開始中量級的採訪吧。<hex:02100103>不得不說，即使是老手雲集的中量級比賽，<hex:02100103>你也贏得輕而易舉。
20,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_201,你和野蠻恨心打場外戰的時候，我還真替你捏了把汗！<hex:02100103>哦對了，還有以劍嚎的職業生涯為賭的那場王者之戰，<hex:02100103>簡直太精彩了，我到現在都在回味。
21,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_202,雖然這次我也全神貫注地觀看了全程比賽，<hex:02100103>但還是想聽你這個當事人親自講講，可以嗎？
22,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_203,很好，我的想像力在不斷翻湧了。<hex:02100103>我已經想好怎麼用漫畫將你的戰鬥呈現出來了，<hex:02100103>絕對不輸狂熱糖潮！
23,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_204,比方說……<hex:02100103>要是讓你和熱舞綠光的鬥舞更激烈一點會如何呢？
24,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_205,如果狂熱糖潮的想像力大爆發，<hex:02100103>實體化出更不得了的東西，會怎麼樣？
25,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_206,還有野蠻恨心，如果他的恨意達到頂峰，<hex:02100103>會呈現出一番怎樣的地獄景象？
26,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_207,要是劍嚎不退場，選擇解放魔物的靈魂戰鬥到最後一刻呢？
27,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_208,呵呵，標題我都想好了，<hex:02100103>就叫«勢不可擋！不依靠外力的挑戰者的蛻變之路（中量級篇）»。<hex:02100103>絕對會成為出類拔萃的暢銷作品！
28,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_209,感謝你百忙之中接受採訪。<hex:02100103>我也很期待接下來的重量級比賽，加油！
29,TEXT_CTSOPN70GABBRO_00851_GABBRO_100_400,抱歉，我還沒有做好採訪的準備。<hex:02100103>請你再等等吧。
30,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_400,你想跟我聊會嗎？<hex:02100103>嗯，那我重新自我介紹一下吧……
31,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_401,我是一名通過繪畫敘述故事的漫畫家，<hex:02100103>主要以阿卡狄亞的比賽為題材進行創作。
32,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_402,雖然這麼說有些自賣自誇，<hex:02100103>我的作品在九號解決方案可是很受歡迎的。
33,TEXT_CTSOPN70GABBRO_00851_GABBRO_000_403,將你這位新星鬥士的戰鬥畫成漫畫的話，<hex:02100103>一定會火的！
